CC,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARB,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000397025482612827,0.000397781363957158,0.000356123073359803,0.000327088857959439,0.000309416096393593,0.000296149853445743,0.00028110928651117,0.000796600412876157,0.0007378820936948,0.00629325289610181,0.0497080007527856,0.0947079986767349,0.084606540312076,0.113049121249912,0.134836973085259,0.129308333476172,0.127293919131121,0.164995742958953,0.165959307421009,0.204184723941989,0.285971376927516,0.281985399652639,0.25445299316897,0.350859870429677,0.409784793532612,0,0,0,0
ARE,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0941424563649715,0.273688613280717,0,0,0,0
ARG,0,0,0,0,0,0,0,0,0,0,0.241280054182188,0.292420769777918,0.2137954315292,0.207513416815742,0.211294005384589,0.188641779189833,0.188196094159751,0.182449004007896,0.247071012991153,0.2417770614013,0.216277453075517,0.273278844707416,0.348812873520452,0.211270737890851,0.256268640229758,0.218353978327857,0.207536655200907,0.231596677257589,0.235592247233276,0.210878990934174,0.186487141711579,0.182530734954636,0.173769000909445,0.186026322724666,0.17458777885548,0.520908073357633,0.637638662203657,0.672863859914609,0.709607665254079,0.79631087616691,0.745713810131499,1.11422921625046,1.21047484515919,1.24494583936505,1.2911054023566,1.61693288044241,1.57147511986222,1.33054833722575,1.14994381515596,1.77227114151825,1.66338620663039,2.02909450183223,2.12328717908185,2.49610647033838,0,0,0,0
ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0508646998982706,0.0346620450606586,0.0705342973020631,0.107841626867971,0.0403768506056528,0.0497760079641613,0.0518806744487678,0.0516129032258065,0,0,0,0
ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,1.31407754358574,1.20167827610086,1.09910173081136,0.949845526852034,0.884611936284032,0.789415165666,0.745060760989646,0.675255016522197,0.616133488280308,0.528543366881999,0.495805448204355,0.503751146933415,0.524755088416575,0.616352743416232,0.664591799290558,0.633574196250916,0.520081952307636,0.472060983285544,0.46114978542193,0.40426738349749,0.395272385723231,0.494191336327852,0.40846498668461,0.395501506672406,0.381079725890022,0.366902228532232,0.357351946047459,0.528584031122102,0.550713207598483,0.486107060218943,0.491260796238565,0.421049985546045,0.417187385135632,0.410961362453565,0.431700471629872,0.538146946834015,0.54490988450101,0.546100636348253,0.586857342100998,0.586093851256052,0.712995786235034,0.878273183861236,1.05675852279128,1.12082522009209,2.09943638409964,2.45609662823824,2.74673943015652,3.2159063326655,2.73436086325381,3.26774879181163,3.82738561756864,5.0070089363939,5.98467276391009,7.50088615344955,8.14235545418341,0,0,0
AUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.609425785482124,0.826182540245373,0.729472774416595,0.653383361366283,0.637629097440503,0.624051756219048,0.729172647413447,0.731354479211316,0.801550017251904,0.823444535661865,0.778846153846154,1.18354400416608,1.12465964247662,1.33184027446869,1.93217003096272,2.1352475881304,2.90606453373354,1.81532764450169,2.17449998961557,2.24595666768386,2.28416098669263,2.40330005380522,2.61519053244959,2.6143154698176,2.27974899733262,3.32922541592664,2.93799230970247,3.07802819430726,3.34108388481488,2.75218639428533,2.6706082773825,2.90991861398136,2.74766909366455,3.61120195535054,4.85891392781042,6.13907749941466,8.29320923042239,9.95655784833578,9.8311124883793,9.47146196184875,9.74047959018445,10.6432861226194,10.7746704304048,12.8962256839495,14.5612468544525,16.4928756476684,0,0,0
AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105999576001696,0.00534473543559594,0.0,0.0,0.295452599126488,0.372047880944678,0,0,0,0
BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285608765234519,0.255234674103134,0.203341662991817,0.120960040744435,0.527000789434381,0.514250677426373,0.606877950101146,0.565067525569306,0.581406964895806,0.0920404978190404,0.0424145443328385,0.0447010616502142,0.0942071490783697,0.20652192776939,0.2374572817559,0.291287708588339,0.29606591204749,0.411142092983554,0.431264574494985,0.386500490127433,0.361077810127305,0.356036500749919,0.448881876054192,0.428544810881312,0.363468231849064,0.450807188547061,0.610560660221193,0.705544078383048,0.806431097204203,0.961217707162184,1.13091035291583,1.39888326437708,2.12113080306619,3.07416891923934,3.53829631660726,4.79523348049244,5.69115649288466,6.58830049129837,9.19068910508459,12.3754916014261,13.6816616575204,16.6468406689525,20.3645693487276,0,0,0
BEN,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5974025974026,1.36363636363636,1.31004366812227,0.78125,0.666666666666667,0.645161290322581,0.617283950617284,0.578034682080925,0.543478260869565,0,0,0,0
BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26355421686747,0.266809920315158,0,0,0,0
BGR,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00241394293438903,0.0113708723733285,0.0439541119071689,0.109462701166826,0.309528081823076,0.585167881833841,1.58854336440881,2.03506387061952,4.51061637218489,6.60567925886368,5.93048777889062,0,0,0,0
BHR,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
 The,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
BLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00320410124959949,0.0032298698362456,0.00943070007230203,0.0471268340192906,0.0970098151107053,0.200816434026863,0.243587906576873,0.298136645962733,0.327932725088477,0.406258926587742,0.374262271484094,0,0,0,0
